
|   ID  |    x    |      y     |
|  3278 | 0.63600 |    1.61315 |
|  3276 | 0.16800 |    0.20384 |
|  3277 | 0.41600 |    0.72268 |
|  3279 | 0.86900 |    3.53225 |
|  3278 | 0.63700 |    1.61869 |
|  3276 | 0.16900 |    0.20531 |
|  3277 | 0.41700 |    0.72557 |
|  3279 | 0.87000 |    3.54419 |
|  3278 | 0.63800 |    1.62424 |
|  3276 | 0.17000 |    0.20679 |
|  3277 | 0.41800 |    0.72847 |
|  3279 | 0.87100 |    3.55619 |
|  3278 | 0.63900 |    1.62980 |
|  3276 | 0.17100 |    0.20828 |
|  3277 | 0.41900 |    0.73138 |
|  3279 | 0.87200 |    3.56822 |
|  3278 | 0.64000 |    1.63539 |
|  3276 | 0.17200 |    0.20977 |
|  3277 | 0.42000 |    0.73430 |
|  3279 | 0.87300 |    3.58030 |
|  3278 | 0.64100 |    1.64099 |
|  3276 | 0.17300 |    0.21126 |
|  3277 | 0.42100 |    0.73723 |
|  3279 | 0.87400 |    3.59243 |
|  3278 | 0.64200 |    1.64660 |
|  3276 | 0.17400 |    0.21276 |
|  3277 | 0.42200 |    0.74016 |
|  3279 | 0.87500 |    3.60460 |
|  3278 | 0.64300 |    1.65224 |
|  3276 | 0.17500 |    0.21426 |
|  3277 | 0.42300 |    0.74311 |
|  3279 | 0.87600 |    3.61681 |
|  3278 | 0.64400 |    1.65789 |
|  3276 | 0.17600 |    0.21576 |
|  3277 | 0.42400 |    0.74606 |
|  3279 | 0.87700 |    3.62906 |
|  3278 | 0.64500 |    1.66356 |
|  3276 | 0.17700 |    0.21727 |
|  3277 | 0.42500 |    0.74902 |
|  3279 | 0.87800 |    3.64136 |
|  3278 | 0.64600 |    1.66925 |
|  3276 | 0.17800 |    0.21878 |
|  3277 | 0.42600 |    0.75199 |
|  3279 | 0.87900 |    3.65371 |
|  3278 | 0.64700 |    1.67496 |
|  3276 | 0.17900 |    0.22030 |
|  3277 | 0.42700 |    0.75496 |
|  3279 | 0.88000 |    3.66610 |
|  3278 | 0.64800 |    1.68068 |
|  3276 | 0.18000 |    0.22182 |
|  3277 | 0.42800 |    0.75795 |
|  3279 | 0.88100 |    3.67853 |
|  3278 | 0.64900 |    1.68642 |
|  3276 | 0.18100 |    0.22334 |
|  3277 | 0.42900 |    0.76094 |
|  3279 | 0.88200 |    3.69101 |
|  3278 | 0.65000 |    1.69218 |
|  3276 | 0.18200 |    0.22487 |
|  3277 | 0.43000 |    0.76395 |
|  3279 | 0.88300 |    3.70354 |
|  3278 | 0.65100 |    1.69796 |
|  3276 | 0.18300 |    0.22640 |
|  3277 | 0.43100 |    0.76696 |
|  3279 | 0.88400 |    3.71611 |
|  3278 | 0.65200 |    1.70375 |
|  3276 | 0.18400 |    0.22793 |
|  3277 | 0.43200 |    0.76998 |
|  3279 | 0.88500 |    3.72873 |
|  3278 | 0.65300 |    1.70956 |
|  3276 | 0.18500 |    0.22947 |
|  3277 | 0.43300 |    0.77301 |
